item_id,position,type,style,weather_temp,weather_condition
TOP_01,Top,Bikini Top,Beachy,"Hot, Warm, Mild, Cold","Sunny, Cloudy "
TOP_02,Top,Tank Top,"Casual, Athletic","Hot, Warm, Mild, Cold","Sunny, Cloudy "
TOP_03,Top,Tank Top,Cute,"Hot, Warm, Mild","Sunny, Cloudy "
TOP_04,Top,Tank Top,Formal,"Hot, Warm, Mild", "Sunny, Cloudy "
TOP_05,Top,Tank Top,Beach,"Hot, Warm, Mild", "Sunny, Cloudy "
TOP_06,Top,Funky Top,Festival,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy"
TOP_07,Top,Shirt,Casual,"Warm, Mild","Sunny, Cloudy, Rainy"
TOP_08,Top,Shirt,Cute,"Warm, Mild","Sunny, Cloudy, Rainy"
TOP_09,Top,Shirt,Formal,"Hot, Warm, Mild","Sunny, Cloudy, Rainy"
TOP_10,Top,Long Sleeve,Casual,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
TOP_11,Top,Long Sleeve,Cute,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
TOP_12,Top,Long Sleeve,Formal,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
LAY_01,Layer,Cover Up,"Beachy, Festival","Warm, Mild","Sunny, Cloudy"
LAY_02,Layer,Cardigan,"Casual, Cute, Formal",Mild,"Sunny, Cloudy"
LAY_03,Layer,Sweater,"Casual, Cute",Mild,"Sunny, Cloudy"
LAY_04,Layer,Hoodie,"Casual, Athletic",Mild,"Sunny, Cloudy"
LAY_05,Layer,Zip Up,"Casual, Cute",Mild,"Sunny, Cloudy"
LAY_06,Layer,Blazer,Formal ,"Mild, Cold","Sunny, Cloudy "
OUT_01,Outer,Puffer,Casual,Cold,"Rainy, Snow"
OUT_02,Outer,Fur Jacket,"Cute, Festival",Cold,"Sunny, Cloudy"
OUT_03,Outer,Raincoat,"Casual, Festival",Mild,Rainy
OUT_04,Outer,Peacoat,"Cute, Formal",Cold,"Sunny, Cloudy"
OUT_05,Outer,Denim Jacket,"Casual, Cute",Mild,"Sunny, Cloudy"
OUT_06,Outer,Leather Jacket,"Casual, Cute, Festival","Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BOT_01,Bottom,Bikini Bottom,Beachy,"Hot, Warm, Mild",Sunny 
BOT_02,Bottom,Skirt,"Cute, Festival","Hot, Warm","Sunny, Cloudy"
BOT_03,Bottom,Skirt,Formal,"Hot, Warm, Mild","Sunny, Cloudy"
BOT_04,Bottom,Skirt,"Casual, Cute","Hot, Warm, Mild","Sunny, Cloudy"
BOT_05,Bottom,Shorts,Athletic,"Hot, Warm, Mild","Sunny, Cloudy"
BOT_06,Bottom,Shorts,Casual,"Hot, Warm, Mild","Sunny, Cloudy"
BOT_07,Bottom,Leggings,Athletic,"Warm, Mild","Sunny, Cloudy, Rainy, Snow"
BOT_08,Bottom,Sweatpants,Athletic,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BOT_09,Bottom,Jeans,"Casual, Cute","Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BOT_10,Bottom,Cargo Pants,Casual,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BOT_11,Bottom,Dress Pants,Formal,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BOT_12,Bottom,Flare Colorful Jeans,Festival,"Mild, Cold","Sunny, Cloudy, Rainy, Snow"
SHO_01,Shoe,Flip Flops,Casual,"Hot, Mild",Sunny
SHO_02,Shoe,Sandals,"Casual, Cute, Formal","Hot, Mild" ,Sunny
SHO_03,Shoe,Sneakers,Casual,"Hot, Warm, Mild","Sunny, Cloudy"
SHO_04,Shoe,Heels,"Formal, Cute","Hot, Warm, Mild","Sunny, Cloudy"
SHO_05,Shoe,Mary Janes,"Formal, Cute","Hot, Warm, Mild","Sunny, Cloudy"
SHO_06,Shoe,Boots,"Casual, Cute, Formal","Mild, Cold",Snow
SHO_07,Shoe,Rain Boots,"Casual, Cute, Formal","Hot, Warm, Mild, Cold",Rainy
SHO_08,Shoe,Trainers,"Casual, Athletic","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
SHO_09,Shoe,Cowboy Boots,Festival,"Hot, Warm, Mild","Sunny, Cloudy, Rainy"
SHO_10,Shoe,Elegant Biker Boots ,"Casual, Cute, Formal, Festival","Mild, Cold ","Cloudy, Rainy, Snow"
BAG_01,Bag,Small Purse,"Casual, Cute","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_02,Bag,Backpack,"Casual, Athletic","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_03,Bag,Tote Bag,"Casual, Beachy","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_04,Bag,Formal Bag,Formal ,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_05,Bag,Beach Bag,Beachy ,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
BAG_06,Bag,Fanny Pack,Festival,"Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"
HAT_01,Hat,Cap,Casual,"Hot, Warm",Sunny
HAT_02,Hat,Sunhat,"Casual, Cute","Hot, Warm",Sunny
HAT_03,Hat,Beanie,"Casual, Athletic",Cold,"Rainy, Snow, Cloudy"
HAT_04,Hat,Ushanka,Cute ,Cold,"Rainy, Snow, Cloudy"
HAT_05,Hat,Bandana,Festival,"Hot, Warm, Mild ","Sunny, Cloudy, Rainy"
HAT_06,Hat,Cowboy Hat,Festival,"Hot, Warm, Mild ","Sunny, Cloudy, Rainy"
ACC_01,Accessory,Sunglasses,"Casual, Cute","Hot, Warm",Sunny
ACC_02,Accessory,Scarf,"Casual, Cute, Formal",Cold,"Rainy, Snow"
ACC_03,Accessory,Gloves,"Casual, Cute, Formal, Athletic",Cold,"Rainy, Snow, Cloudy"
ACC_04,Accessory,Tie,"Formal, Cute","Hot, Warm, Mild, Cold","Sunny, Cloudy, Rainy, Snow"

